,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
52,the-sandbox,53,SAND,The Sandbox,2101731926.2233226000000000,3000000000.0000000000000000,1042435086.4822316181431240,31155159.8660837329143765,0.4959886051478604,-0.6835379907853938,0.4801521481819220,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
53,theta,54,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,1030458121.5038388000000000,19367096.3924961564596509,1.0304581215038388,-2.5808882281290547,1.0018576823808988,https://explorer.thetatoken.org/
54,bitcoin-sv,55,BSV,Bitcoin SV,19582481.2500000000000000,21000000.0000000000000000,957694741.9770978241124681,17247804.9402400735741594,48.9056892102014817,0.1873123373563910,47.2672239436915968,https://bsvexplorer.io/
55,axie-infinity,56,AXS,Axie Infinity,132040366.9694730500000000,270000000.0000000000000000,912235850.2895292013071565,30261350.8867180886528891,6.9087648817306962,-1.5284192730871556,6.7454408698321870,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
56,decentraland,57,MANA,Decentraland,1893095370.6427295000000000,,900484326.2047518642936880,25206584.4490975516936721,0.4756677028368762,-1.5420056895734145,0.4645221059279049,https://etherscan.io/token/decentraland
57,neo,58,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,896304365.9348928173759911,42566283.3394068383094511,12.7065384161936681,0.2051137304895170,12.2211677333214735,https://neotracker.io
58,synthetix-network-token,59,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,873137577.2514460287659304,52813636.4045472514321934,3.7358796018292153,-1.2599691781052753,3.6170569965590077,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
59,eos,60,EOS,EOS,1111687846.1527000000000000,,861775819.6859497622531327,64838940.6609794271873377,0.7751958633607094,-3.1338980440677197,0.7644444866793645,https://bloks.io/
60,tezos,61,XTZ,Tezos,963904307.7965550000000000,,856068528.0920713433177128,26095395.3374434067137356,0.8881260527292468,-1.1755068634679326,0.8565743102320039,https://tzkt.io/
61,iota,62,IOTA,IOTA,3057265852.0000000000000000,4600000000.0000000000000000,826315142.0284317661139464,12800246.9038428860778877,0.2702791258692382,-1.9341899596631155,0.2626873677243240,https://thetangle.org/
62,kava,63,KAVA,Kava,1038485369.0000000000000000,,819202444.3777637846198983,19047458.0385573343584380,0.7888435107820607,-0.9310877328212462,0.7684258173966620,https://www.mintscan.io/kava
63,klaytn,64,KLAY,Klaytn,3277805865.9204730000000000,,792406254.9125153641769401,9109071.4949829594772157,0.2417489892098878,-2.8995024860681920,0.2379749331207934,https://scope.klaytn.com/blocks
64,gala,65,GALA,Gala,26781402936.8492700000000000,50000000000.0000000000000000,782377990.0242155462836965,52425508.5006663025287761,0.0292134804091133,-1.8528322992889445,0.0284661305126608,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
65,wootrade,66,WOO,WOO Network,1780996797.1974165000000000,,772780483.1200581504834724,28110713.2290635056806975,0.4339033536366312,16.5699349579588452,0.3916773151872225,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
66,mina,67,MINA,Mina,1019952876.8400393000000000,,744614949.7753455789692549,12537057.6766238683712831,0.7300483842766048,-1.9178726687171697,0.7055707994783875,https://minaexplorer.com/
67,conflux-network,68,CFX,Conflux,3552949221.4694767000000000,,652353105.7944185196152379,21672448.1092191075609648,0.1836089021065743,-0.6122281406798477,0.1797343504953113,http://www.confluxscan.io/
68,frax-share,69,FXS,Frax Share,75565979.9188717800000000,,644040552.5509695251030789,1121058.4481215027635628,8.5228902376759547,-0.2260591056880307,8.3207270831380404,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
69,ecash,70,XEC,eCash,19582142173092.0000000000000000,21000000000000.0000000000000000,631233249.9983129906189928,3193099.0208312343522348,0.0000322351479434,-1.5385528833195334,0.0000314800831689,https://explorer.bitcoinabc.org/
70,chiliz,71,CHZ,Chiliz,7719205479.9737040000000000,8888888888.0000000000000000,615228159.8712376552126264,36503232.4982759388146530,0.0797009694154862,-1.8515188986956001,0.0786061319340684,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
71,arweave,72,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,605949176.7686598504335445,31636123.1622642110470342,9.2576078484310797,-2.0533201979224751,9.0499716547784650,https://viewblock.io/arweave
72,oasis-network,73,ROSE,Oasis Network,6713599876.0000000000000000,10000000000.0000000000000000,595858364.4285649424873600,17402967.0959664340195004,0.0887539286573600,-0.8241245077259546,0.0852901131552559,https://www.oasisscan.com/
73,pancakeswap,74,CAKE,PancakeSwap,262982005.9644928600000000,750000000.0000000000000000,584041698.6083733482079063,24142304.7124683650042840,2.2208428157142779,-0.9335760768945316,2.1828567857810928,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
74,xinfin-network,75,XDC,XinFin Network,12293293518.5500000000000000,,582934241.2273793917465015,1493527.3032702069606879,0.0474188825271079,-2.3793413480962760,0.0479178866199844,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
75,curve-dao-token,76,CRV,Curve DAO Token,938729598.0000000000000000,3303030299.0000000000000000,581944186.7933344933012764,9830840.5162420646187776,0.6199273870060018,-5.0085893105414063,0.6128104968643526,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
76,fetch,77,FET,Fetch.ai,829114182.2472098000000000,,579619835.9932859162360028,119914939.0512588239206541,0.6990832486091351,7.9803151491294370,0.6559372879590045,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
77,gnosis-gno,78,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,578100203.1297254338392708,6981418.0728789871247252,223.2402232052841741,1.0291879118972137,217.9213144983780821,https://etherscan.io/token/Gnosis
78,aelf,79,ELF,aelf,712148344.4091900000000000,1000000000.0000000000000000,547844530.7698571747863150,8324717.9976434628466827,0.7692842861614149,-1.1628893846881630,0.7432104130908756,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
79,dydx,80,DYDX,dYdX,183765523.0000000000000000,1000000000.0000000000000000,537827242.1661750548885197,98555946.6515749594945140,2.9267037330292639,-5.6276704799843253,2.9183958374816242,
80,rocket-pool,81,RPL,Rocket Pool,19916752.6973577000000000,,529771453.0934917012162029,729849.0584890669395401,26.5992886061077116,-0.6037978868401445,26.5881091252919088,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
81,gatetoken,82,GT,GateToken,99150707.5571614000000000,,519305991.2753937662404430,3221294.0797651736711267,5.2375419608176627,2.3885807815047383,5.2620929421521738,
82,akash-network,83,AKT,Akash Network,223336400.1244560000000000,388539008.0000000000000000,494174076.8378452938661498,1189601.1331051408523118,2.2126893626048545,1.2923028643518805,2.0823457555483041,https://akash.bigdipper.live/
83,zcash,84,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,479277240.4576722852222469,52600323.1876440640542126,29.3526060720719265,-5.1397562614329829,28.6574037825243430,https://explorer.zcha.in/
